#яти 
яти	я	им	ем
благовоспріяти	благовоспрія	благовоспріим/благовосприм	благовоспріем
воспріяти	воспрія	воспріим/восприм	воспріем
пріяти	прія	пріим/прим	пріем
предвоспріяти	предвоспрія	предвоспріим/предвосприм	предвоспріем
предприпріяти	предприпрія	предприпріим/предприприм	предприпріем
совоспріяти	совоспрія	совоспріим/совосприм	совоспріем
странновоспріяти	странновоспрія	странновоспріим/странновосприм	странновоспріем
заяти	зая	заим/займ	заем
наяти	ная	наим/найм	наем
пояти	поя	поим/пойм	поем
преяти	прея	преим/прейм	преем
уяти	уя	уим/уйм	уем
заняти	заня	заним	занем
отъяти	отъя	отъим/отъем/отым/отьим	отъим/отъем/отым/отьим
совзъяти	совзъя	совзъим/совзъем/совзым/совзьим	совзъим/совзъем/совзым/совзьим
изъяти	изъя	изъим/изъем/изым/изьим	изъим/изъем/изым/изьим
ѡбъяти	ѡбъя	ѡбъим/ѡбъем/ѡбым/ѡбьим	ѡбъим/ѡбъем/ѡбым/ѡбьим
предотъяти	предотъя	предотъим/предотъем/предотым/ѡбьим	предотъим/предотъем/предотым/ѡбьим
предподъяти	предподъя	предподъим/предподъем/предподым/ѡбьим	предподъим/предподъем/предподым/ѡбьим
предъяти	предъя	предъим/предъем/предым/предьим	предъим/предъем/предым/предьим
отъяти	отъя	отъим/отъем/отым/отьим	отъим/отъем/отым/отьим
поъяти	поъя	поъим/поъем/поым/поьим	поъим/поъем/поым/поьим
подъяти	подъя	подъим/подъем/подым/подьим	подъим/подъем/подым/подьим
вняти	вня	внем/вонм/воньм	внем/вонм/воньм
взяти	взя	взим/возм/возьм	взем/возм/возьм
#не яти, но не создавать же отдельный файл
сжати	сжа	сжим/сожм	сжем/сожм
изжати	изжа	изжим/изожм	изжем/изожм
